id	label_en	synonym_en	label_ja	synonym_ja
NANDO:1200001	[Shitei] Spinal and bulbar muscular atrophy	SBMA|Kennedy disease	[指定] 球脊髄性筋萎縮症	Kennedy-Alter-Sung症候群|KAS
NANDO:1200002	[Shitei] Amyotrophic lateral sclerosis	ALS	[指定] 筋萎縮性側索硬化症	
NANDO:1200003	[Shitei] Spinal muscular atrophy	SMA	[指定] 脊髄性筋萎縮症	
NANDO:1200004	[Shitei] Spinal muscular atrophy type I	Werdnig-Hoffmann disease|SMA I|SMA type I	[指定] 脊髄性筋萎縮症I型	ウェルドニッヒ・ホフマン病|急性乳児型SMA
NANDO:1200005	[Shitei] Spinal muscular atrophy type II	SMA II|Dubowitz disease|SMA type II	[指定] 脊髄性筋萎縮症II型	デュボビッツ病|慢性乳児型SMA|ドュボウィツ症候群
NANDO:1200006	[Shitei] Spinal muscular atrophy type III	SMA III|Kugelberg-Welander disease|SMA type III	[指定] 脊髄性筋萎縮症III型	クーゲンベルグ・ウェランダー病|若年型SMA|慢性型SMA|Kugelberg-Welander病
NANDO:1200007	[Shitei] Spinal muscular atrophy type IV	SMA IV	[指定] 脊髄性筋萎縮症IV型	成人型SMA|成人発症型
NANDO:1200008	[Shitei] Primary lateral sclerosis	PLS	[指定] 原発性側索硬化症	
NANDO:1200009	[Shitei] Progressive supranuclear palsy	PSP	[指定] 進行性核上性麻痺	
NANDO:1200010	[Shitei] Parkinson's disease	Parkinson disease|PD	[指定] パーキンソン病	
NANDO:1200011	[Shitei] Corticobasal degeneration	CBD	[指定] 大脳皮質基底核変性症	
NANDO:1200012	[Shitei] Huntington's disease	Huntington disease	[指定] ハンチントン病	
NANDO:1200013	[Shitei] Neuroacanthocytosis		[指定] 神経有棘赤血球症	
NANDO:1200014	[Shitei] Chorea-acanthocytosis	Choreoacanthocytosis|ChAc	[指定] 有棘赤血球舞踏病	
NANDO:1200015	[Shitei] McLeod syndrome	MLS	[指定] Mcleod症候群	マクロード症候群
NANDO:1200016	[Shitei] Charcot-Marie-Tooth disease	CMT	[指定] シャルコー・マリー・トゥース病	
NANDO:1200017	[Shitei] Charcot-Marie-Tooth disease type 1	CMT1	[指定] 脱髄型シャルコー・マリー・トゥース病	脱髄型CMT
NANDO:1200018	[Shitei] Charcot-Marie-Tooth disease type 2	CMT2	[指定] 軸索型シャルコー・マリー・トゥース病	軸索型CMT
NANDO:1200019	[Shitei] Intermediate Charcot-Marie-Tooth disease	Intermediate CMT	[指定] 中間型シャルコー・マリー・トゥース病	中間型CMT
NANDO:1200020	[Shitei] Myasthenia gravis	MG	[指定] 重症筋無力症	
NANDO:1200021	[Shitei] Congenital myasthenic syndrome	CMS	[指定] 先天性筋無力症候群	
NANDO:1200022	[Shitei] Multiple sclerosis/Neuromyelitis optica spectrum disorders	MS/NMOSD|Multiple sclerosis/Neuromyelitis optica|MS/NMO	[指定] 多発性硬化症／視神経脊髄炎	
NANDO:1200023	[Shitei] Multiple sclerosis	MS	[指定] 多発性硬化症	
NANDO:1200024	[Shitei] Relapsing-remitting multiple sclerosis	relapsing-remitting MS|RRMS	[指定] 再発寛解型多発性硬化症	再発寛解型MS|再発型MS
NANDO:1200025	[Shitei] Primary progressive multiple sclerosis	primary progressive MS|PPMS	[指定] 一次性進行型多発性硬化症	一次性進行型MS
NANDO:1200026	[Shitei] Secondary progressive multiple sclerosis	secondary progressive MS|SPMS	[指定] 二次性進行型多発性硬化症	二次性進行型MS
NANDO:1200027	[Shitei] Neuromyelitis optica spectrum disorders	NMOSD	[指定] 視神経脊髄炎	
NANDO:1200028	[Shitei] Baló concentric sclerosis	Baló's disease|BCS	[指定] Baló病	バロー同心円硬化症
NANDO:1200029	[Shitei] Chronic inflammatory demyelinating polyneuropathy/Multifocal motor neuropathy	CIDP/MMN	[指定] 慢性炎症性脱髄性多発神経炎／多巣性運動ニューロパチー	
NANDO:1200030	[Shitei] Chronic inflammatory demyelinating polyneuropathy	CIDP	[指定] 慢性炎症性脱髄性多発神経炎	
NANDO:1200031	[Shitei] Multifocal motor neuropathy	MMN	[指定] 多巣性運動ニューロパチー	
NANDO:1200032	[Shitei] Sporadic inclusion body myositis	sIBM	[指定] 封入体筋炎	
